id,speaker,cosine
1152,手岛,0.7664815
1153,葵,0.61607695
1154,神里绫华,0.97520095
1157,神里绫华,0.9999999
1166,派蒙,0.8582368
1167,托马,0.73412406
1168,神里绫华,0.6181091
1169,派蒙,0.890523
1170,旅行者,0.43137968
1171,派蒙,0.87538147
1172,派蒙,0.81577826
1173,神里绫华,0.9244376
1174,托马,0.91749823
1175,派蒙,0.97961336
1176,托马,0.93524957
1177,托马,0.68259406
1178,托马,0.9965148
1179,托马,0.99563134
1180,派蒙,0.9999999
1181,托马,0.9542462
1182,神里绫华,0.88595605
1183,神里绫华,0.99087214
1184,托马,0.93507516
1185,托马,0.8188279
1186,托马,0.9829099
1187,派蒙,1.0
1188,托马,0.9763589
1189,派蒙,1.0000002
1190,派蒙,0.9874357
1215,旅行者,0.966045
1219,旅行者,0.98391855
1223,旅行者,1.0000002
1233,旅行者,0.95945615
1251,旅行者,0.9800395
1284,旅行者,1.0
1287,旅行者,1.0
1288,旅行者,0.9999999
1290,旅行者,1.0000002
1291,旅行者,1.0
1322,旅行者,1.0
1323,旅行者,0.99999994
1324,旅行者,0.99999994
1325,旅行者,1.0
1326,旅行者,1.0
1327,旅行者,1.0
1329,旅行者,0.9502661
1331,旅行者,0.9999998
1334,旅行者,0.9999998
1335,旅行者,0.9999998
1336,旅行者,0.99999994
1337,旅行者,1.0
1339,旅行者,0.80740213
1351,旅行者,1.0000002
1352,旅行者,0.9064682
1353,旅行者,0.9999999
1355,旅行者,0.99470836
1356,旅行者,0.99999994
1357,旅行者,1.0000001
1361,旅行者,0.9999999
1362,治一郎,0.9104562
1363,哲平,0.9999999
1380,韦尔纳,0.83949566
1381,韦尔纳,0.83949566
1382,韦尔纳,0.80017006
1383,派蒙,0.8596557
1384,派蒙,0.9751679
1385,派蒙,0.9540616
1386,「散兵」,0.89308465
1387,「散兵」,0.6394354
1388,「散兵」,0.88442236
1389,派蒙,0.9482874
1390,「散兵」,0.95293504
1391,「散兵」,0.9774428
1392,「散兵」,0.87108976
1393,「散兵」,0.98578024
1394,「散兵」,0.7513657
1395,派蒙,0.7537475
1396,「散兵」,0.83207107
1397,「散兵」,0.91016644
1398,「散兵」,0.9903653
1399,「散兵」,0.92468715
1400,「散兵」,0.99841183
1401,旅行者,1.0000001
1402,旅行者,0.522417
1403,派蒙,0.9021148
1404,派蒙,1.0
1415,派蒙,0.57867396
1417,派蒙,0.87576985
1419,派蒙,0.9627636
1424,派蒙,0.9284783
1425,派蒙,0.8934953
1428,派蒙,0.9947113
1429,八重神子,0.7906398
1430,八重神子,0.94142705
1431,派蒙,0.97242224
1432,八重神子,0.9395367
1434,旅行者,0.99999994
1435,八重神子,0.80007327
1437,八重神子,0.83072066
1438,八重神子,0.9997715
1439,八重神子,0.7778449
1440,八重神子,0.69300604
1441,八重神子,0.95502615
1442,八重神子,0.93443274
1443,旅行者,0.5176889
1444,旅行者,1.0
1445,八重神子,0.99947214
1446,八重神子,1.0000001
1447,八重神子,0.9962228
1448,派蒙,0.8165026
1449,八重神子,0.9844913
1450,八重神子,0.9509353
1451,派蒙,0.99999976
1452,天守阁守卫,0.7440778
1453,天守阁守卫,0.7666014
1454,天守阁守卫,0.9297123
1455,天守阁守卫,0.9710895
1456,天守阁守卫 倒地,0.68192893
1458,毅,0.99452233
1459,派蒙,0.9999999
1460,派蒙,1.0000001
1461,派蒙,1.0000001
1462,派蒙,0.76803863
1466,派蒙,0.94242525
1467,派蒙,0.82052076
1471,派蒙,1.0
1472,毅,0.7241621
1474,派蒙,0.4947158
1475,派蒙,0.99999994
1476,派蒙,0.9222276
1477,派蒙,0.9951624
1490,派蒙,0.99999976
1491,派蒙,0.9492897
1503,派蒙,0.99999994
1504,派蒙,0.9999999
1505,派蒙,1.0
1506,派蒙,0.99999994
1507,派蒙,0.9999998
1508,派蒙,1.0000001
1509,派蒙,0.9999998
1514,派蒙,1.0
1517,派蒙,0.99752355
1518,派蒙,0.8816859
1519,勘定奉行足轻,1.0
1520,派蒙,0.98769486
1521,旅行者,0.9228664
1522,派蒙,0.7878888
1523,毗伽尔,0.7770314
1524,派蒙,0.77476394
1525,毗伽尔,0.7770314
1526,派蒙,1.0
1527,派蒙,0.8825463
1528,毗伽尔,0.9259423
1529,派蒙,0.77706826
1530,旅行者,0.8706789
1531,旅行者,0.6511768
1532,派蒙,0.8473454
1533,派蒙,0.9053836
1534,毗伽尔,0.9259423
1535,派蒙,0.77706826
1536,旅行者,0.8706789
1537,旅行者,0.6511768
1538,派蒙,0.8473454
1539,派蒙,0.9053836
1540,旅行者,0.82903534
1541,纳西妲,0.62440825
1542,旅行者,0.92598146
1543,纳西妲,0.9372196
1544,纳西妲,0.7571679
1545,派蒙,0.4834825
1546,纳西妲,0.58103186
1547,纳西妲,0.6495983
1548,旅行者,0.795413
1549,纳西妲,-0.017640144
1550,派蒙,0.68103063
1551,纳西妲,0.96898025
1552,纳西妲,0.66832715
1553,派蒙,0.8000162
1554,旅行者,0.6339191
1555,纳西妲,0.88696027
1556,纳西妲,0.92677987
1557,旅行者,0.6311357
1558,密兹里,0.73282856
1559,旅行者,0.5978153
1560,迪希雅,0.7293541
1561,派蒙,0.8360524
1585,深渊使徒,1.0
1587,旅行者,0.716106
1590,旅行者,0.8539276
1594,旅行者,0.92322224
1602,派蒙,0.922024
1611,哈夫丹,0.7552413
1613,戴因斯雷布,0.8380344
1614,戴因斯雷布,0.97286636
1616,哈夫丹,0.956155
1619,戴因斯雷布,0.70696837
1620,旅行者,1.0
1621,旅行者,0.9078847
1622,丽莎,0.71299136
1623,丽莎,1.0
1624,丽莎,0.91023064
1625,丽莎,0.25400883
1626,丽莎,0.9083524
1627,派蒙,0.64688456
1628,丽莎,0.9273215
1629,派蒙,0.8954773
1630,派蒙,0.82545245
1631,派蒙,0.9099858
1632,丽莎,0.24574538
1633,派蒙,0.5049316
1634,诺拉,0.76047456
1635,诺拉,0.97880244
1636,诺拉,1.0
1637,派蒙,0.983721
1638,派蒙,0.86893314
1639,派蒙,0.6313753
1640,温迪,0.3844595
1641,派蒙,0.98729503
1642,派蒙,0.9693748
1643,温迪,0.50047207
1644,派蒙,0.97957975
1645,温迪,0.8801167
1646,派蒙,0.70360494
1647,派蒙,0.92465603
1648,派蒙,0.9999999
1649,派蒙,0.933007
1650,派蒙,0.7904415
1651,杰克,0.33074635
1652,斯坦利,0.9412933
1653,斯坦利,0.9249164
1654,温迪,0.876078
1655,斯坦利,0.92292595
1656,温迪,0.72260916
1657,斯坦利,0.9221611
1658,派蒙,0.5738027
1659,杰克,0.2761377
1660,斯坦利,0.8640847
1661,杰克,0.95117044
1662,斯坦利,0.8732744
1663,斯坦利,0.9870378
1664,杰克,0.94033515
1665,斯坦利,0.9134836
1666,杰克,0.20793548
1667,斯坦利,0.9658607
1668,杰克,0.90382314
1669,杰克,0.97571707
1670,斯坦利,0.964548
1671,杰克,0.89913255
1672,派蒙,0.96217895
1673,派蒙,0.74561703
1674,派蒙,0.8348412
1675,派蒙,0.88778543
1676,温迪,0.98153555
1677,派蒙,1.0
1679,斯坦利,0.71803457
1683,斯坦利,0.95987785
1685,斯坦利,0.974322
1686,派蒙,1.0
1694,斯坦利,0.99999994
1695,斯坦利,0.99999994
1696,温迪,0.89689094
1697,温迪,0.8850219
1698,温迪,0.9067119
1699,温迪,0.7162007
1700,温迪,0.7785124
1701,温迪,1.0
1702,温迪,0.866406
1703,温迪,0.6439023
1704,温迪,0.99999994
1705,温迪,0.48500192
1706,温迪,0.798612
1707,温迪,0.9639035
1708,温迪,1.0
1709,温迪,0.91274387
1710,温迪,1.0
1711,温迪,0.9999998
1712,温迪,0.3281047
1713,温迪,0.6083772
1714,温迪,0.47737068
1715,温迪,1.0000002
1760,诺曼,0.98960435
1775,派蒙,1.0000001
1776,可莉,0.9738461
1777,可莉,0.5921973
1778,派蒙,0.9884681
1779,可莉,0.9820082
1780,可莉,0.8252658
1781,深渊法师,0.93521565
1782,深渊法师,0.849146
1783,派蒙,1.0
1784,派蒙,1.0000001
1788,莫娜,1.0
1790,莫娜,0.99999976
1795,莫娜,0.9911348
1796,莫娜,1.0
1798,派蒙,0.98131543
1799,派蒙,0.7746677
1802,莫娜,0.99999994
1805,派蒙,0.9963315
1806,旅行者,0.94499785
1807,莫娜,0.99999976
1808,旅行者,0.70592195
1809,派蒙,0.8591521
1810,莫娜,0.6675298
1811,派蒙,0.8365096
1812,莫娜,0.9643375
1813,莫娜,0.22593851
