id,speaker,x,y
775,凝光,15.094124,5.744487
776,凝光,14.992219,6.2120824
799,玉京台 潜入AI1,4.7482758,6.5870304
800,玉京台 潜入AI2,2.255605,8.010353
801,玉京台 潜入AI3,6.524732,7.613848
802,玉京台 潜入AI4,5.7583222,2.4108222
803,民众,7.3898544,2.6183882
804,民众,6.3461404,3.712805
805,民众,6.242646,4.2702
806,民众,1.6092767,4.5649076
807,派蒙,5.162583,2.6671834
808,玉京台 潜入AI1,16.278913,3.6794617
809,「公子」,4.514009,8.297777
811,「公子」,0.4148126,8.821066
812,玉京台 潜入AI1,4.2941465,7.695957
813,玉京台 潜入AI1,14.834326,4.9573336
814,玉京台 潜入AI1,3.215274,5.5864697
847,派蒙,4.9694114,3.5122378
848,派蒙,0.7655767,-0.3465126
849,派蒙,3.726824,5.122836
850,派蒙,3.5113432,3.8690188
851,派蒙,6.463364,6.0407276
852,派蒙,3.9504063,5.259407
853,派蒙,4.636915,3.910248
854,魈,4.705417,4.909808
864,派蒙,4.347498,1.2942002
865,派蒙,2.530196,0.7127808
866,派蒙,2.2725596,6.6570945
867,派蒙,3.5404093,1.6825825
868,派蒙,5.5134015,1.4358876
869,派蒙,7.5861707,9.26824
870,派蒙,6.316481,3.6605785
871,派蒙,4.967437,6.419019
872,鸿如,0.7099827,6.0742464
873,鸿如,2.2038143,7.9907146
882,派蒙,1.7474256,2.5126317
883,派蒙,5.6961136,5.8830338
884,钟离,1.6298887,4.49451
885,钟离,-0.10583166,2.568307
886,钟离,-0.54637957,-0.7780466
887,派蒙,2.487803,3.6962252
888,派蒙,0.5556424,3.129991
889,派蒙,5.0936756,4.3758636
890,派蒙,7.7173557,8.798094
891,派蒙,0.15932927,3.867173
892,派蒙,2.0548043,3.7961698
893,派蒙,5.556563,3.7174408
894,派蒙,5.7524734,8.214438
895,派蒙,0.44182527,4.7108755
896,派蒙,4.5221643,4.426615
897,派蒙,0.8534809,4.1879582
898,派蒙,2.9079838,3.5510185
899,旅行者,-0.49853066,4.3331084
900,派蒙,4.199255,3.1260579
901,派蒙,2.6211789,4.1606736
902,步云,1.3694392,6.4840302
903,派蒙,2.997987,1.1680458
904,派蒙,3.2020948,5.6218514
